schoolSN,courseName,courseId,userId,userName,comments,mark,agreeCount
PKU,口腔正畸学,1464021174,4969233,mooc16920228381469019,"我努力了好多年，终于考进北大口腔，才有机会听大佬们讲课。
现在，在慕课里，每个人都可以随时随地听专家大佬们的讲课，点进去，认真听，必有收获！",5.0,5
PKU,口腔正畸学,1464021174,4943161,Emory_Chan,不愧北大口腔，要点非常突出，结合临床实际的讲解理解起来更方便了,5.0,5
PKU,口腔正畸学,1464021174,4962151,Shoudarin,老师们的课件重难点突出，讲解深入浅出、条理清晰，很便于学生理解,5.0,3
PKU,口腔正畸学,1464021174,4957031,牙医mmmm,朝思暮想的课程，感谢这么好的老师和平台，能让我们有机会听听课！祝大家中秋节快乐！,5.0,3
PKU,口腔正畸学,1464021174,4978338,牛龙正畸,非常棒的课程，北大老师们讲的深入浅出，简明扼要，感到受益匪浅！,5.0,2
PKU,口腔正畸学,1464021174,4976320,省口腔-袁建桥,内容详实，课程紧凑，知识点丰富。,5.0,2
PKU,口腔正畸学,1464021174,4978301,里天姝,课程讲解系统、详细，初学入门和专科医生复听都有收获！,5.0,2
PKU,口腔正畸学,1464021174,4972253,微笑的猫k12107341553495557873,老师们的讲解非常生动易懂，深入浅出，重点突出，受益匪浅～,5.0,2
PKU,口腔正畸学,1464021174,4975265,刘佳liujia999,课程干货满满，受益匪浅。,5.0,2
PKU,口腔正畸学,1464021174,4947513,邢立婷,非常好的学习方式，老师的讲授涵盖的知识点非常有针对性，受益匪浅！,5.0,2
PKU,口腔正畸学,1464021174,4974235,ACS67,老师讲授课程思路清晰，易于理解。,5.0,2
PKU,口腔正畸学,1464021174,4935676,miakapi,刚开始学习课程，本着崇敬心认真听讲！感谢慕课平台，让无缘高等学府的我有缘听教授讲课！！！幸福之至~！！,5.0,2
PKU,口腔正畸学,1464021174,4928223,DR_Tiger,"very good .Such a perfect basic course,once again review the basic knowledge,clinical has a great role.",5.0,2
PKU,口腔正畸学,1464021174,4978249,mooc94449381842111428,感谢老师的讲解，每一个细节都讲的那么清晰透彻，生动形象 解答了我之前很多理解不到位还有自学时不透彻的问题,5.0,1
PKU,口腔正畸学,1464021174,4972240,xuyin86,谢谢各位老师的授课！课程先讲了生长发育，生物学基础，矫治原理和矫治器，让大家理解了治疗的原理再讲解治疗方案的制定就更容易理解和吸收讲课内容。,5.0,1
PKU,口腔正畸学,1464021174,4972224,孟彤12160,课程专业、详细、全面,5.0,1
PKU,口腔正畸学,1464021174,4964489,chenpeng-pku,能够在网上听北大正畸的课程真的太好了！,5.0,1
PKU,口腔正畸学,1464021174,4970427,GYN学习中,课程内容丰富，讲解细致，形式生动，很喜欢这门课！,5.0,1
PKU,口腔正畸学,1464021174,4970415,mooc96855226478177509,老师讲解清晰简洁，内容翔实，获益良多。温故而知新，对于正畸的学习非常有帮助！,5.0,1
PKU,口腔正畸学,1464021174,4968421,小萍k1226612539938006158,课程内容新颖，老师讲的非常好，对理论和实际操作影响很大，受益匪浅,5.0,1
PKU,推荐系统,1464038187,4917237,mooc82696466293889330,比较系统清晰地了解了推荐系统，很受用,5.0,2
PKU,推荐系统,1464038187,4934577,njau_liu,特别好！情报学选手前来打卡~~,5.0,1
PKU,推荐系统,1464038187,4912192,吴静,非常好，推荐系统的慕课课程太少了，刘老师能够做一个开端，很有意义。,5.0,1
PKU,推荐系统,1464038187,4909772,南京大学191180182张铁伦,老师的课通识性较强，非常适合零基础同学入门,5.0,1
PKU,推荐系统,1464038187,4907718,努力的小蜜蜂啊,还可以，知识偏理论,3.0,0
PKU,英语阅读,1462118161,4246966,宋扬,期待几位老师的讲授，北大最有趣的英语课！,5.0,17
